   23424973.047104120                1
   49459773533.731659                2
   3788885454219.3174                3
   96815299124947.234                4
   1186261972167594.2                5
   8110723200108347.0                6
   33226821201780236.                7
   83524217342134880.                8
   1.2547022040287693E+017           9
   93035487260814144.               10
   33712517692231024.               11
   1.9882250500628854E+017          12
   2.6231008762393440E+017          13
   67153526477058032.               14
   1.7322307799731565E+017          15
   86361193178356096.               16
   15082728775354144.               17
   3.1381149369251693E+017          18
   5.1844425414293747E+017          19
   4.2634318100541536E+017          20
   2.9497022729245837E+017          21
   3.2704784356455398E+017          22
   3.2704092330270253E+017          23
   1.1442563595137421E+017          24
   2.1668191113682630E+017          25
   1.8076310642100742E+017          26
   62608477317957520.               27
   90865211684860576.               28
   3.3322342023296141E+017          29
   85779984193867072.               30
   1.2204805054075510E+017          31
   28117723929223416.               32
   2.6075712667554954E+017          33
   3.0627538430047776E+017          34
   4.4350845824683072E+017          35
   1.4718017727137670E+017          36
   1.1988803927098080E+017          37
   8574292191792288.0               38
   69891814787285760.               39
   44754716176201520.               40
   29873307282389356.               41
   1.9831196627539952E+017          42
   2.6086325541139648E+017          43
   1.9142250269048221E+017          44
   1.0625849948432602E+017          45
   1.2448280418822448E+017          46
   4.2045550689817037E+017          47
   2.7410223248549050E+017          48
   3.1718662277280550E+017          49
   2.0351408065352045E+017          50
