   6523876313.7130899                1
   1045772648713.2559                2
   40925030336818.180                3
   677956276935508.50                4
   5834988584428844.0                5
   28445829261702444.                6
   79500295565475152.                7
   1.1625312987409702E+017           8
   49392450768778536.                9
   74363379125730304.               10
   92788202943772160.               11
   1.0739875789270198E+017          12
   1.5341039035623558E+017          13
   2.2005774810907283E+017          14
   6.2060127108726938E+017          15
   77476031182160224.               16
   3.5893237200877920E+017          17
   2.8757777381004250E+017          18
   3.6263245172558848E+017          19
   4.2451879775351994E+017          20
   5.6022064602174797E+017          21
   5.0392887299484314E+017          22
   7.8868271568428096E+017          23
   6.2496048861832064E+017          24
   1.6864885196063024E+017          25
