  1.000000  0.500000  0.333333  0.250000  0.200000  0.166667  0.142857  0.125000  0.111111  0.100000
  0.500000  0.083333  0.083333  0.075000  0.066667  0.059524  0.053571  0.048611  0.044444  0.040909
  0.333333  0.083333  0.005556  0.008333  0.009524  0.009921  0.009921  0.009722  0.009428  0.009091
  0.250000  0.075000  0.008333  0.000357  0.000714  0.000992  0.001190  0.001326  0.001414  0.001469
  0.200000  0.066667  0.009524  0.000714  0.000023  0.000057  0.000093  0.000126  0.000155  0.000180
  0.166667  0.059524  0.009921  0.000992  0.000057  0.000001  0.000004  0.000008  0.000012  0.000017
  0.142857  0.053571  0.009921  0.001190  0.000093  0.000004  0.000000  0.000000  0.000001  0.000001
  0.125000  0.048611  0.009722  0.001326  0.000126  0.000008  0.000000  0.000000  0.000000  0.000000
  0.111111  0.044444  0.009428  0.001414  0.000155  0.000012  0.000001  0.000000  0.000000  0.000000
  0.100000  0.040909  0.009091  0.001469  0.000180  0.000017  0.000001  0.000000  0.000000  0.000000
